pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	false	bpq	ob	online	0	1.4361 ± 0.0879
mix_all	false	bpq	ob	offline	0	1.4375 ± 0.0345
mix_all	false	bpq	npf	blank	1	1.4385 ± 0.2847
mix_gen	false	bpq	hybrid	offline	1	1.4442 ± 0.3004
mix_gen	online	bpq	ob	online	0	1.4497 ± 0.0662
mix_all	online	bpq	npf	offline	1	1.4502 ± 0.2867
randomH	online	bpq	ob	blank	0	1.4538 ± 0.0639
randomH	false	bpq	ob	offline	0	1.4545 ± 0.0880
mix_all	online	bpq	ob	offline	0	1.4549 ± 0.0701
randomH	false	bpq	hybrid	online	1	1.4632 ± 0.3193
mix_gen	online	bpq	ob	offline	0	1.4653 ± 0.0629
mix_all	online	bpq	ob	blank	0	1.4659 ± 0.0556
mix_all	online	bpq	ob	online	0	1.4703 ± 0.0936
randomH	online	bpq	ob	online	0	1.4764 ± 0.0633
randomH	online	bpq	ob	offline	0	1.4854 ± 0.1234
mix_gen	online	bpq	ob	blank	0	1.4902 ± 0.0785
randomH	online	bpq	npf	online	0	1.6543 ± 0.6714
mix_all	false	bpq	npf	online	1	1.6827 ± 0.8766
randomH	false	lapq	ob	blank	2	1.8202 ± 0.0528
mix_all	false	lapq	ob	offline	2	1.8219 ± 0.0462
mix_all	false	lapq	dedup	offline	3	1.8239 ± 0.0677
mix_gen	false	lapq	dedup	online	2	1.8345 ± 0.0692
mix_gen	false	lapq	npf	blank	3	1.8345 ± 0.0556
mix_all	false	lapq	ob	online	3	1.8349 ± 0.0351
randomH	false	lapq	npf	blank	2	1.8350 ± 0.0477
mix_gen	false	lapq	hybrid	blank	2	1.8359 ± 0.0498
randomH	false	lapq	ob	blank	3	1.8361 ± 0.0479
mix_gen	false	lapq	dedup	blank	3	1.8367 ± 0.0511
mix_gen	false	lapq	hybrid	blank	3	1.8384 ± 0.0427
mix_all	false	lapq	npf	online	2	1.8430 ± 0.0622
randomH	false	lapq	npf	online	3	1.8430 ± 0.0667
mix_all	false	lapq	dedup	offline	2	1.8433 ± 0.0621
randomH	false	lapq	ob	offline	3	1.8443 ± 0.0488
randomH	false	lapq	npf	offline	3	1.8450 ± 0.0688
