pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	online	lapq	npf	offline	2	2.5719 ± 0.0975
randomT	online	lapq	false	false	0	2.5752 ± 0.1032
randomT	online	lapq	ob	online	3	2.5758 ± 0.1320
randomT	online	lapq	dedup	blank	2	2.5768 ± 0.1456
mix_all	false	lapq	hybrid	offline	2	2.5789 ± 0.1062
mix_gen	online	lapq	dedup	blank	2	2.5790 ± 0.1007
randomT	online	lapq	ob	online	2	2.5797 ± 0.1187
randomT	false	lapq	hybrid	blank	3	2.5815 ± 0.0595
mix_gen	false	lapq	hybrid	offline	2	2.5815 ± 0.0838
randomT	online	lapq	npf	blank	3	2.5816 ± 0.1184
mix_gen	online	lapq	hybrid	offline	2	2.5828 ± 0.1562
mix_all	online	lapq	npf	online	3	2.5847 ± 0.1461
randomT	online	lapq	ob	blank	2	2.5849 ± 0.1457
mix_all	online	lapq	false	false	0	2.5852 ± 0.1013
mix_all	false	lapq	npf	blank	2	2.5860 ± 0.1009
mix_gen	false	lapq	npf	offline	2	2.5882 ± 0.0661
mix_all	online	lapq	dedup	online	2	2.5892 ± 0.1085
mix_gen	online	lapq	dedup	blank	3	2.5895 ± 0.0801
mix_gen	online	lapq	ob	online	2	2.5897 ± 0.1288
randomT	online	lapq	ob	blank	3	2.5903 ± 0.1045
randomT	online	lapq	dedup	blank	3	2.5908 ± 0.1336
randomT	online	lapq	npf	online	3	2.5910 ± 0.1231
randomT	false	lapq	npf	offline	3	2.5916 ± 0.1100
mix_gen	false	lapq	hybrid	offline	3	2.5935 ± 0.0609
mix_gen	online	lapq	hybrid	offline	3	2.5943 ± 0.1494
randomT	false	lapq	npf	offline	2	2.5953 ± 0.1385
randomT	false	lapq	hybrid	online	2	2.5969 ± 0.0683
mix_gen	false	lapq	dedup	blank	3	2.5993 ± 0.1166
mix_gen	online	lapq	npf	online	3	2.6031 ± 0.1393
randomT	false	lapq	dedup	blank	2	2.6047 ± 0.0713
mix_gen	online	lapq	ob	blank	3	2.6052 ± 0.1218
mix_all	false	lapq	npf	offline	3	2.6067 ± 0.1678
randomT	false	lapq	ob	blank	2	2.6086 ± 0.0679
mix_gen	false	lapq	ob	blank	3	2.6087 ± 0.0497
mix_all	false	lapq	ob	online	2	2.6088 ± 0.0503
mix_all	online	lapq	ob	online	2	2.6090 ± 0.1526
mix_gen	false	lapq	ob	offline	3	2.6106 ± 0.0354
mix_all	false	lapq	hybrid	online	3	2.6107 ± 0.0681
randomT	online	lapq	dedup	online	3	2.6117 ± 0.1367
mix_gen	false	lapq	dedup	offline	2	2.6118 ± 0.1178
mix_gen	online	lapq	ob	blank	2	2.6125 ± 0.1040
