pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_all	online	lapq	npf	online	3	1.4762 ± 0.0303
mix_all	false	lapq	dedup	online	2	1.4765 ± 0.0286
mix_gen	online	lapq	ob	offline	2	1.4783 ± 0.0521
mix_gen	online	lapq	npf	offline	2	1.4787 ± 0.0517
randomG	online	lapq	ob	offline	2	1.4792 ± 0.0475
randomG	false	lapq	hybrid	blank	3	1.4801 ± 0.0472
mix_gen	false	lapq	hybrid	blank	2	1.4808 ± 0.0497
randomG	online	lapq	hybrid	online	2	1.4810 ± 0.0413
mix_all	online	lapq	hybrid	offline	2	1.4813 ± 0.0607
randomG	online	lapq	dedup	online	2	1.4824 ± 0.0503
randomG	online	lapq	hybrid	online	3	1.4830 ± 0.0382
mix_all	online	lapq	npf	blank	2	1.4840 ± 0.0401
mix_gen	false	lapq	dedup	offline	3	1.4841 ± 0.0564
mix_all	online	lapq	npf	offline	3	1.4846 ± 0.0393
mix_all	online	lapq	hybrid	offline	3	1.4851 ± 0.0522
mix_gen	online	lapq	npf	offline	3	1.4851 ± 0.0801
mix_all	false	lapq	hybrid	online	2	1.4860 ± 0.0479
mix_all	false	lapq	dedup	blank	2	1.4861 ± 0.0496
mix_gen	online	lapq	hybrid	offline	3	1.4878 ± 0.0499
randomG	online	lapq	hybrid	blank	3	1.4885 ± 0.0380
mix_all	online	lapq	npf	online	2	1.4896 ± 0.0458
mix_all	online	lapq	hybrid	online	2	1.4907 ± 0.0767
mix_gen	online	lapq	hybrid	blank	2	1.4918 ± 0.0663
mix_gen	false	lapq	dedup	offline	2	1.4918 ± 0.0515
mix_all	online	lapq	ob	blank	3	1.4924 ± 0.0440
mix_gen	false	lapq	hybrid	blank	3	1.4935 ± 0.0667
randomG	online	lapq	hybrid	blank	2	1.4937 ± 0.0558
mix_gen	online	lapq	hybrid	online	2	1.4946 ± 0.0501
mix_gen	online	lapq	hybrid	online	3	1.4953 ± 0.0563
mix_gen	online	lapq	hybrid	blank	3	1.4965 ± 0.0493
mix_all	false	lapq	ob	blank	3	1.4971 ± 0.0995
randomG	false	lapq	dedup	offline	2	1.4971 ± 0.0901
mix_all	online	lapq	hybrid	online	3	1.4981 ± 0.0767
mix_gen	false	lapq	dedup	blank	3	1.4985 ± 0.1179
mix_gen	false	lapq	npf	offline	3	1.4987 ± 0.1522
mix_all	online	lapq	npf	blank	3	1.5021 ± 0.0842
mix_gen	online	lapq	dedup	blank	3	1.5028 ± 0.0176
mix_gen	online	lapq	npf	online	3	1.5049 ± 0.0863
mix_all	online	lapq	npf	offline	2	1.5051 ± 0.0270
randomG	online	lapq	dedup	online	3	1.5054 ± 0.0510
mix_all	false	lapq	hybrid	blank	2	1.5059 ± 0.0532
mix_gen	online	lapq	npf	blank	3	1.5061 ± 0.0942
mix_all	online	lapq	ob	offline	2	1.5067 ± 0.0554
mix_all	false	lapq	hybrid	offline	3	1.5091 ± 0.0590
mix_gen	online	lapq	dedup	online	2	1.5131 ± 0.0592
mix_all	online	lapq	dedup	offline	3	1.5172 ± 0.0849
randomG	online	lapq	hybrid	offline	2	1.5210 ± 0.1244
randomG	online	lapq	false	false	0	1.5216 ± 0.0479
randomG	false	lapq	dedup	offline	3	1.5219 ± 0.0828
mix_gen	online	lapq	ob	online	3	1.5272 ± 0.1610
mix_all	false	lapq	npf	blank	3	1.5292 ± 0.2013
randomG	false	lapq	npf	offline	2	1.5303 ± 0.1249
mix_all	online	lapq	hybrid	blank	2	1.5304 ± 0.0936
mix_all	online	lapq	dedup	online	2	1.5325 ± 0.0885
mix_all	false	lapq	hybrid	online	3	1.5412 ± 0.1659
